2023-11-22 at 17:32:25 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:32:26 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:32:26 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:32:26 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:32:27 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:32:32 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:32:33 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:32:48 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:32:50 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:32:55 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:32:57 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:17 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:34:18 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:23 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:34:24 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:34:24 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:25 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:27 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:34:27 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:34:29 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:29 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:35 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:34:37 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:34:37 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:38 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:39 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:34:39 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:41 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:34:42 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:43 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:34:43 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:45 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:34:46 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:51 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:34:53 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:34:54 | INFO | Total esperado de páginas: 0/1
2023-11-22 at 17:34:54 | INFO | Offset atual: 0
2023-11-22 at 17:34:55 | INFO | Total esperado de páginas: 1/1
2023-11-22 at 17:34:55 | INFO | Offset atual: 50
2023-11-22 at 17:34:55 | INFO | Total de dados coletados: 8
2023-11-22 at 17:35:02 | INFO | Total esperado de páginas: 0/1
2023-11-22 at 17:35:02 | INFO | Offset atual: 0
2023-11-22 at 17:35:03 | INFO | Total esperado de páginas: 1/1
2023-11-22 at 17:35:03 | INFO | Offset atual: 50
2023-11-22 at 17:35:03 | INFO | Total de dados coletados: 8
2023-11-22 at 17:35:12 | INFO | Solicitações bem-sucedidas: 7
2023-11-22 at 17:35:12 | INFO | Erros de solicitação: 0
2023-11-22 at 17:35:12 | INFO | Buscando Inventory IDs de Produtos FulFillment na API do Mercado Livre
2023-11-22 at 17:35:13 | INFO | Criando DataFrame com a tabela 'tiny_fulfillment'
2023-11-22 at 17:35:13 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:35:14 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:35:31 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:35:31 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:35:31 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:35:31 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:35:32 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:35:32 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:35:32 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:35:33 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:35:35 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:35:36 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:35:37 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:35:38 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:35:38 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:35:38 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:35:39 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:35:39 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:35:39 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:35:40 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:35:41 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:35:42 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:35:47 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:35:49 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:35:50 | INFO | Total esperado de páginas: 0/1
2023-11-22 at 17:35:50 | INFO | Offset atual: 0
2023-11-22 at 17:35:51 | INFO | Total esperado de páginas: 1/1
2023-11-22 at 17:35:51 | INFO | Offset atual: 50
2023-11-22 at 17:35:51 | INFO | Total de dados coletados: 8
2023-11-22 at 17:35:58 | INFO | Total esperado de páginas: 0/1
2023-11-22 at 17:35:58 | INFO | Offset atual: 0
2023-11-22 at 17:35:59 | INFO | Total esperado de páginas: 1/1
2023-11-22 at 17:35:59 | INFO | Offset atual: 50
2023-11-22 at 17:35:59 | INFO | Total de dados coletados: 8
2023-11-22 at 17:36:08 | INFO | Solicitações bem-sucedidas: 7
2023-11-22 at 17:36:08 | INFO | Erros de solicitação: 0
2023-11-22 at 17:36:08 | INFO | Buscando Inventory IDs de Produtos FulFillment na API do Mercado Livre
2023-11-22 at 17:36:09 | INFO | Criando DataFrame com a tabela 'tiny_fulfillment'
2023-11-22 at 17:36:09 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:36:10 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:36:54 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:36:55 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:36:56 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:36:57 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:36:59 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:36:59 | INFO | Offset atual: 0
2023-11-22 at 17:36:59 | INFO | Total de dados coletados: 0
2023-11-22 at 17:37:07 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:37:07 | INFO | Offset atual: 0
2023-11-22 at 17:37:07 | INFO | Total de dados coletados: 0
2023-11-22 at 17:39:03 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:39:04 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:39:06 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:39:06 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:39:08 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:39:08 | INFO | Offset atual: 0
2023-11-22 at 17:39:08 | INFO | Total de dados coletados: 0
2023-11-22 at 17:39:15 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:39:15 | INFO | Offset atual: 0
2023-11-22 at 17:39:15 | INFO | Total de dados coletados: 0
2023-11-22 at 17:39:49 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:39:50 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:39:51 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:39:52 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:39:53 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:39:53 | INFO | Offset atual: 0
2023-11-22 at 17:39:53 | INFO | Total de dados coletados: 0
2023-11-22 at 17:40:08 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:40:10 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:40:15 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:40:16 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:40:19 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:40:19 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:40:20 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:40:21 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:40:23 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:40:23 | INFO | Offset atual: 0
2023-11-22 at 17:40:23 | INFO | Total de dados coletados: 0
2023-11-22 at 17:40:30 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:40:30 | INFO | Offset atual: 0
2023-11-22 at 17:40:30 | INFO | Total de dados coletados: 0
2023-11-22 at 17:40:56 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:40:58 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:40:59 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:40:59 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:41:01 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:41:01 | INFO | Offset atual: 0
2023-11-22 at 17:41:01 | INFO | Total de dados coletados: 0
2023-11-22 at 17:41:08 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:41:08 | INFO | Offset atual: 0
2023-11-22 at 17:41:08 | INFO | Total de dados coletados: 0
2023-11-22 at 17:44:50 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:44:50 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:44:51 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:44:51 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:45:17 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:45:17 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:45:18 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:45:18 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:45:25 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:45:26 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:45:26 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:45:26 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:45:44 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:45:45 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:45:54 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:45:55 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:45:56 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:45:57 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:45:59 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:46:00 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:46:04 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:46:05 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:46:05 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:46:05 | INFO | Offset atual: 0
2023-11-22 at 17:46:05 | INFO | Total de dados coletados: 0
2023-11-22 at 17:46:11 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:46:11 | INFO | Offset atual: 0
2023-11-22 at 17:46:11 | INFO | Total de dados coletados: 0
2023-11-22 at 17:46:28 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:46:31 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:46:32 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:46:33 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:46:33 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:46:33 | INFO | Offset atual: 0
2023-11-22 at 17:46:33 | INFO | Total de dados coletados: 0
2023-11-22 at 17:46:39 | INFO | Total esperado de páginas: 0/0
2023-11-22 at 17:46:39 | INFO | Offset atual: 0
2023-11-22 at 17:46:39 | INFO | Total de dados coletados: 0
2023-11-22 at 17:49:31 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:49:32 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:49:32 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:49:33 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
2023-11-22 at 17:49:34 | INFO | Total esperado de páginas: 0/1
2023-11-22 at 17:49:34 | INFO | Offset atual: 0
2023-11-22 at 17:49:35 | INFO | Total esperado de páginas: 1/1
2023-11-22 at 17:49:35 | INFO | Offset atual: 50
2023-11-22 at 17:49:35 | INFO | Total de dados coletados: 8
2023-11-22 at 17:49:42 | INFO | Total esperado de páginas: 0/1
2023-11-22 at 17:49:42 | INFO | Offset atual: 0
2023-11-22 at 17:49:43 | INFO | Total esperado de páginas: 1/1
2023-11-22 at 17:49:43 | INFO | Offset atual: 50
2023-11-22 at 17:49:43 | INFO | Total de dados coletados: 8
2023-11-22 at 17:49:52 | INFO | Solicitações bem-sucedidas: 7
2023-11-22 at 17:49:52 | INFO | Erros de solicitação: 0
2023-11-22 at 17:49:52 | INFO | Buscando Inventory IDs de Produtos FulFillment na API do Mercado Livre
2023-11-22 at 17:49:53 | INFO | Criando DataFrame com a tabela 'tiny_fulfillment'
2023-11-22 at 17:49:53 | INFO | Carregando histórico de produtos disponíveis no fulfillment
2023-11-22 at 17:49:54 | INFO | Criando DataFrame com a tabela 'fulfillment_stock_hist'
