2023-11-22 at 15:06:58 | INFO | Buscando IDs de Produtos na API Tiny
2023-11-22 at 15:07:00 | INFO | Criando DataFrame com IDs de produtos na tabela 'tiny_fulfillment'
2023-11-22 at 15:07:00 | INFO | Buscando dados de 735947207
2023-11-22 at 15:07:00 | INFO | Loop: 1/481
2023-11-22 at 15:07:00 | INFO | Verificando headers
2023-11-22 at 15:07:00 | INFO | Enviando requisição POST
2023-11-22 at 15:07:00 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:00 | INFO | Buscando dados de 747848159
2023-11-22 at 15:07:00 | INFO | Loop: 2/481
2023-11-22 at 15:07:00 | INFO | Verificando headers
2023-11-22 at 15:07:01 | INFO | Enviando requisição POST
2023-11-22 at 15:07:01 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:01 | INFO | Buscando dados de 698412654
2023-11-22 at 15:07:01 | INFO | Loop: 3/481
2023-11-22 at 15:07:01 | INFO | Verificando headers
2023-11-22 at 15:07:02 | INFO | Enviando requisição POST
2023-11-22 at 15:07:02 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:02 | INFO | Buscando dados de 749528560
2023-11-22 at 15:07:02 | INFO | Loop: 4/481
2023-11-22 at 15:07:02 | INFO | Verificando headers
2023-11-22 at 15:07:03 | INFO | Enviando requisição POST
2023-11-22 at 15:07:03 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:03 | INFO | Buscando dados de 749530945
2023-11-22 at 15:07:03 | INFO | Loop: 5/481
2023-11-22 at 15:07:03 | INFO | Verificando headers
2023-11-22 at 15:07:04 | INFO | Enviando requisição POST
2023-11-22 at 15:07:04 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:04 | INFO | Buscando dados de 749530672
2023-11-22 at 15:07:04 | INFO | Loop: 6/481
2023-11-22 at 15:07:04 | INFO | Verificando headers
2023-11-22 at 15:07:04 | INFO | Enviando requisição POST
2023-11-22 at 15:07:04 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:04 | INFO | Buscando dados de 749528632
2023-11-22 at 15:07:04 | INFO | Loop: 7/481
2023-11-22 at 15:07:04 | INFO | Verificando headers
2023-11-22 at 15:07:05 | INFO | Enviando requisição POST
2023-11-22 at 15:07:05 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:05 | INFO | Buscando dados de 749528951
2023-11-22 at 15:07:05 | INFO | Loop: 8/481
2023-11-22 at 15:07:05 | INFO | Verificando headers
2023-11-22 at 15:07:06 | INFO | Enviando requisição POST
2023-11-22 at 15:07:06 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:06 | INFO | Buscando dados de 749528930
2023-11-22 at 15:07:06 | INFO | Loop: 9/481
2023-11-22 at 15:07:06 | INFO | Verificando headers
2023-11-22 at 15:07:07 | INFO | Enviando requisição POST
2023-11-22 at 15:07:07 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:07 | INFO | Buscando dados de 749530553
2023-11-22 at 15:07:07 | INFO | Loop: 10/481
2023-11-22 at 15:07:07 | INFO | Verificando headers
2023-11-22 at 15:07:08 | INFO | Enviando requisição POST
2023-11-22 at 15:07:08 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:08 | INFO | Buscando dados de 749530597
2023-11-22 at 15:07:08 | INFO | Loop: 11/481
2023-11-22 at 15:07:08 | INFO | Verificando headers
2023-11-22 at 15:07:09 | INFO | Enviando requisição POST
2023-11-22 at 15:07:09 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:09 | INFO | Buscando dados de 749529078
2023-11-22 at 15:07:09 | INFO | Loop: 12/481
2023-11-22 at 15:07:09 | INFO | Verificando headers
2023-11-22 at 15:07:10 | INFO | Enviando requisição POST
2023-11-22 at 15:07:10 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:10 | INFO | Buscando dados de 749530521
2023-11-22 at 15:07:10 | INFO | Loop: 13/481
2023-11-22 at 15:07:10 | INFO | Verificando headers
2023-11-22 at 15:07:11 | INFO | Enviando requisição POST
2023-11-22 at 15:07:11 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:11 | INFO | Buscando dados de 749530626
2023-11-22 at 15:07:11 | INFO | Loop: 14/481
2023-11-22 at 15:07:11 | INFO | Verificando headers
2023-11-22 at 15:07:12 | INFO | Enviando requisição POST
2023-11-22 at 15:07:12 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:12 | INFO | Buscando dados de 746248995
2023-11-22 at 15:07:12 | INFO | Loop: 15/481
2023-11-22 at 15:07:12 | INFO | Verificando headers
