2023-11-22 at 17:41:54 | INFO | Total de dados coletados: 0
2023-11-22 at 17:43:27 | INFO | Total esperado de páginas: 0/5
2023-11-22 at 17:43:27 | INFO | Offset atual: 0
2023-11-22 at 17:43:28 | INFO | Total esperado de páginas: 1/5
2023-11-22 at 17:43:28 | INFO | Offset atual: 50
2023-11-22 at 17:43:29 | INFO | Total esperado de páginas: 2/5
2023-11-22 at 17:43:29 | INFO | Offset atual: 100
2023-11-22 at 17:43:30 | INFO | Total esperado de páginas: 3/5
2023-11-22 at 17:43:30 | INFO | Offset atual: 150
2023-11-22 at 17:43:32 | INFO | Total esperado de páginas: 4/5
2023-11-22 at 17:43:32 | INFO | Offset atual: 200
2023-11-22 at 17:43:33 | INFO | Total esperado de páginas: 5/5
2023-11-22 at 17:43:33 | INFO | Offset atual: 250
2023-11-22 at 17:43:33 | INFO | Total de dados coletados: 201
2023-11-22 at 17:48:02 | INFO | Solicitações bem-sucedidas: 196
2023-11-22 at 17:48:02 | INFO | Erros de solicitação: 0
2023-11-22 at 19:35:22 | INFO | Total esperado de páginas: 0/5
2023-11-22 at 19:35:22 | INFO | Offset atual: 0
2023-11-22 at 19:35:23 | INFO | Total esperado de páginas: 1/5
2023-11-22 at 19:35:23 | INFO | Offset atual: 50
2023-11-22 at 19:35:24 | INFO | Total esperado de páginas: 2/5
2023-11-22 at 19:35:24 | INFO | Offset atual: 100
2023-11-22 at 19:35:25 | INFO | Total esperado de páginas: 3/5
2023-11-22 at 19:35:25 | INFO | Offset atual: 150
2023-11-22 at 19:35:27 | INFO | Total esperado de páginas: 4/5
2023-11-22 at 19:35:27 | INFO | Offset atual: 200
2023-11-22 at 19:35:28 | INFO | Total esperado de páginas: 5/5
2023-11-22 at 19:35:28 | INFO | Offset atual: 250
2023-11-22 at 19:35:28 | INFO | Total de dados coletados: 201
2023-11-22 at 19:36:14 | INFO | Total esperado de páginas: 0/5
2023-11-22 at 19:36:14 | INFO | Total esperado de páginas: 0/5
2023-11-22 at 19:36:14 | INFO | Offset atual: 0
2023-11-22 at 19:36:14 | INFO | Offset atual: 0
2023-11-22 at 19:36:15 | INFO | Total esperado de páginas: 1/5
2023-11-22 at 19:36:15 | INFO | Total esperado de páginas: 1/5
2023-11-22 at 19:36:15 | INFO | Offset atual: 50
2023-11-22 at 19:36:15 | INFO | Offset atual: 50
2023-11-22 at 19:36:16 | INFO | Total esperado de páginas: 2/5
2023-11-22 at 19:36:16 | INFO | Total esperado de páginas: 2/5
2023-11-22 at 19:36:16 | INFO | Offset atual: 100
2023-11-22 at 19:36:16 | INFO | Offset atual: 100
2023-11-22 at 19:36:18 | INFO | Total esperado de páginas: 3/5
2023-11-22 at 19:36:18 | INFO | Total esperado de páginas: 3/5
2023-11-22 at 19:36:18 | INFO | Offset atual: 150
2023-11-22 at 19:36:18 | INFO | Offset atual: 150
2023-11-22 at 19:36:19 | INFO | Total esperado de páginas: 4/5
2023-11-22 at 19:36:19 | INFO | Total esperado de páginas: 4/5
2023-11-22 at 19:36:19 | INFO | Offset atual: 200
2023-11-22 at 19:36:19 | INFO | Offset atual: 200
2023-11-22 at 19:36:20 | INFO | Total esperado de páginas: 5/5
2023-11-22 at 19:36:20 | INFO | Total esperado de páginas: 5/5
2023-11-22 at 19:36:20 | INFO | Offset atual: 250
2023-11-22 at 19:36:20 | INFO | Offset atual: 250
2023-11-22 at 19:36:20 | INFO | Total de dados coletados: 201
2023-11-22 at 19:36:20 | INFO | Total de dados coletados: 201
2023-11-22 at 19:40:25 | INFO | Solicitações bem-sucedidas: 196
2023-11-22 at 19:40:25 | INFO | Solicitações bem-sucedidas: 196
2023-11-22 at 19:40:25 | INFO | Erros de solicitação: 0
2023-11-22 at 19:40:25 | INFO | Erros de solicitação: 0
