,ml_inventory_id,available_quantity,data_x,days_available,ml_code,category_id,variation_id,seller_sku,pack_id,title,order_status,payment_status,shipping_id,fulfilled,mcenter_id,ml_sku,var_code,tiny_id,tiny_sku,ad_title,data_y,total_sales_quantity
16,AVOX05934,1,2023-11-23,3,MLB2003190501,MLB72752,nan,FULLBASSOSF80,,Correia Guitarra Violão Baixo Basso Alça Exército De Jesus,paid,approved,42819691784,True,157.0,FULLBASSOSF80,NaN,729131555,7898942138676,Correia Guitarra Violão Baixo Basso Alça Exército De Jesus,2023-11-20,1.0
24,BLHH53768,4,2023-11-23,3,MLB2004836143,MLB72752,nan,FULLBASSOVTSL52,2000005062367843,Correia Guitarra Violão Baixo Basso Alça Couro Floral Preto,paid,approved,42816904224,True,870.0,FULLBASSOVTSL52,NaN,729127557,7898529535775,Correia Guitarra Violão Baixo Basso Alça Couro Floral Preto,2023-11-20,1.0
27,BOWK48319,7,2023-11-23,3,MLB1461189878,MLB202371,51907695787,FULLKALANI15420,,Ukulele Soprano 21 Kayke Mogno Kal 320 Sm Com Bag Kalani,paid,approved,42818986556,True,651.0,FULLKALANI15420,Marrom,655422932,7899574325939,Ukulele Soprano 21 Kayke Mogno Kal 320 Sm Com Bag Kalani,2023-11-20,1.0
38,BZGW51616,26,2023-11-23,3,MLB3339660079,MLB278096,178533059701,FULLVANDOREN2SR2115,2000005069391121,"2 Palheta Sax Alto Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",paid,approved,42822144279,True,761.0,FULLVANDOREN2SR2115,"1,5",748837437,7897626822108,"2 Palheta Sax Alto Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",2023-11-21,1.0
50,CLMF99895,9,2023-11-23,3,MLB1992541482,MLB278076,173552533267,FULLSG6687,2000005072075885,Encordoamento 0.09 0.10 0.11 0.12 Violão Aço 85/15 Bronze Sg,paid,approved,42824583640,True,303.0,FULLSG6687,0.12,730228363,7897626866874,Encordoamento 0.09 0.10 0.11 0.12 Violão Aço 85/15 Bronze Sg,2023-11-21,4.0
59,CTZK75126,1,2023-11-23,3,MLB3696018282,MLB278096,178531159091,FULLVANDORENSR261,,"2 Palheta Sax Alto Vandoren Java Origina 1 1,5 2 2,5 3 3,5 4",paid,approved,42824045873,True,783.0,FULLVANDORENSR261,1,749888305,7897626855649,"2 Palheta Sax Alto Vandoren Java Origina 1 1,5 2 2,5 3 3,5 4",2023-11-21,1.0
66,DGCL82617,13,2023-11-23,3,MLB2606294854,MLB278096,174383750598,FULLVANDOREN2CR1015,,"2 Palheta Clarinete Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",paid,approved,42817928192,True,4.0,FULLVANDOREN2CR1015,"1,5",749528560,7897626822009,"2 Palheta Clarinete Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",2023-11-20,1.0
79,DSGP06967,6,2023-11-23,3,MLB1992567302,MLB429603,173585284762,FULLNI5BM,2000005065283139,1 Par Baquetas De Bateria Liverpool Nirvana 5a Ou 5b Ou 7a,paid,approved,42819173654,True,1.0,FULLNI5BM,1 Par 5B,735947207,7897937421021,1 Par Baquetas De Bateria Liverpool Nirvana 5a Ou 5b Ou 7a,2023-11-20,2.0
80,DSGP06979,7,2023-11-23,3,MLB1992567302,MLB429603,173585284763,FULLNI7AM,2000005071951213,1 Par Baquetas De Bateria Liverpool Nirvana 5a Ou 5b Ou 7a,paid,approved,42824496718,True,2.0,FULLNI7AM,1 Par 7A,747848159,7897937421007,1 Par Baquetas De Bateria Liverpool Nirvana 5a Ou 5b Ou 7a,2023-11-21,1.0
102,EIPZ51427,8,2023-11-23,3,MLB2770292345,MLB278096,175608239370,FULLVANDOREN2SR2115,,"2 Palheta Sax Alto Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",paid,approved,42822083878,True,724.0,FULLVANDOREN2SR2115,"1,5",748837437,7897626822108,"2 Palheta Sax Alto Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",2023-11-21,5.0
